text,iso,dimensionality,form,motion_type,motion_class,motion_sense,semantic_type,motion_signal_type
one,O,,,,,,,
of,O,,,,,,,
Spain,PLACE,AREA,NAM,,,,,
’s,O,,,,,,,
first,O,,,,,,,
nudes,O,,,,,,,
.,O,,,,,,,
Rumors,O,,,,,,,
of,O,,,,,,,
a,O,,,,,,,
scandalous,O,,,,,,,
affair,O,,,,,,,
between,O,,,,,,,
Goya,SPATIAL_ENTITY,POINT,NAM,,,,,
and,O,,,,,,,
the,O,,,,,,,
duchess,O,,,,,,,
of,O,,,,,,,
Alba,O,,,,,,,
have,O,,,,,,,
long,O,,,,,,,
been,O,,,,,,,
assumed,O,,,,,,,
.,O,,,,,,,
Goya,SPATIAL_ENTITY,POINT,NAM,,,,,
’s,O,,,,,,,
most,O,,,,,,,
celebrated,O,,,,,,,
royal,O,,,,,,,
portrait,O,,,,,,,
",",O,,,,,,,
The,O,,,,,,,
Family,O,,,,,,,
of,O,,,,,,,
Carlos,O,,,,,,,
IV,O,,,,,,,
",",O,,,,,,,
is,O,,,,,,,
daringly,O,,,,,,,
frank,O,,,,,,,
and,O,,,,,,,
unflattering,O,,,,,,,
;,O,,,,,,,
only,O,,,,,,,
the,O,,,,,,,
royal,O,,,,,,,
children,O,,,,,,,
look,O,,,,,,,
remotely,O,,,,,,,
attractive,O,,,,,,,
.,O,,,,,,,
On,O,,,,,,,
still,O,,,,,,,
another,O,,,,,,,
level,O,,,,,,,
",",O,,,,,,,
The,O,,,,,,,
Executions,O,,,,,,,
of,O,,,,,,,
the,O,,,,,,,
3rd,O,,,,,,,
of,O,,,,,,,
May,O,,,,,,,
",",O,,,,,,,
one,O,,,,,,,
of,O,,,,,,,
history,O,,,,,,,
’s,O,,,,,,,
most,O,,,,,,,
powerful,O,,,,,,,
protest,O,,,,,,,
pictures,O,,,,,,,
",",O,,,,,,,
depicts,O,,,,,,,
the,O,,,,,,,
shooting,O,,,,,,,
of,O,,,,,,,
Spanish,O,,,,,,,
patriots,O,,,,,,,
in,O,,,,,,,
1808,O,,,,,,,
by,O,,,,,,,
the,O,,,,,,,
French,O,,,,,,,
.,O,,,,,,,
Goya,SPATIAL_ENTITY,POINT,NAM,,,,,
witnessed,O,,,,,,,
this,O,,,,,,,
tragedy,O,,,,,,,
of,O,,,,,,,
the,O,,,,,,,
War,O,,,,,,,
of,O,,,,,,,
Independence,O,,,,,,,
from,O,,,,,,,
his,O,,,,,,,
cottage,O,,,,,,,
",",O,,,,,,,
then,O,,,,,,,
went,MOTION,,,PATH,REACH,LITERAL,,
to,MOTION_SIGNAL,,,,,,,PATH
the,O,,,,,,,
scene,PLACE,AREA,NOM,,,,,
by,O,,,,,,,
moonlight,O,,,,,,,
to,O,,,,,,,
sketch,O,,,,,,,
the,O,,,,,,,
victims,O,,,,,,,
.,O,,,,,,,
New,O,,,,,,,
Goya,O,,,,,,,
rooms,PLACE,AREA,NOM,,,,,
in,SPATIAL_SIGNAL,,,,,,TOPOLOGICAL,
the,O,,,,,,,
Prado,PLACE,AREA,NAM,,,,,
were,O,,,,,,,
opened,O,,,,,,,
in,O,,,,,,,
March,O,,,,,,,
1999,O,,,,,,,
.,O,,,,,,,
Goya,SPATIAL_ENTITY,POINT,NAM,,,,,
’s,O,,,,,,,
harrowing,O,,,,,,,
“,O,,,,,,,
black,SPATIAL_ENTITY,AREA,NAM,,,,,
paintings,SPATIAL_ENTITY,AREA,NAM,,,,,
paintings,O,,,,,,,
",",O,,,,,,,
”,O,,,,,,,
done,O,,,,,,,
when,O,,,,,,,
he,SPATIAL_ENTITY,POINT,NOM,,,,,
was,O,,,,,,,
depressed,O,,,,,,,
and,O,,,,,,,
going,O,,,,,,,
deaf,O,,,,,,,
(,O,,,,,,,
see,O,,,,,,,
Saturn,O,,,,,,,
Devouring,O,,,,,,,
One,O,,,,,,,
of,O,,,,,,,
His,O,,,,,,,
Sons,O,,,,,,,
),O,,,,,,,
have,O,,,,,,,
been,O,,,,,,,
moved,MOTION,,,PATH,MOVE,LITERAL,,
",",O,,,,,,,
temporarily,O,,,,,,,
",",O,,,,,,,
from,MOTION_SIGNAL,,,,,,,PATH
the,O,,,,,,,
ground,O,,,,,,,
floor,PLACE,VOLUME,NOM,,,,,
to,MOTION_SIGNAL,,,,,,,PATH
the,O,,,,,,,
second,O,,,,,,,
floor,PLACE,VOLUME,NOM,,,,,
.,O,,,,,,,
They,SPATIAL_ENTITY,POINT,NOM,,,,,
will,O,,,,,,,
be,O,,,,,,,
a,O,,,,,,,
focal,O,,,,,,,
point,O,,,,,,,
of,O,,,,,,,
the,O,,,,,,,
Prado,PLACE,AREA,NAM,,,,,
’s,O,,,,,,,
planned,O,,,,,,,
expansion,O,,,,,,,
.,O,,,,,,,
El,O,,,,,,,
Greco,O,,,,,,,
(,O,,,,,,,
1541–1614,O,,,,,,,
),O,,,,,,,
was,O,,,,,,,
born,NONMOTION_EVENT,,,,,,,
in,SPATIAL_SIGNAL,,,,,,TOPOLOGICAL,
Crete,PLACE,AREA,NAM,,,,,
and,O,,,,,,,
was,O,,,,,,,
long,O,,,,,,,
a,O,,,,,,,
resident,O,,,,,,,
in,O,,,,,,,
Italy,PLACE,AREA,NAM,,,,,
",",O,,,,,,,
but,O,,,,,,,
nonetheless,O,,,,,,,
became,O,,,,,,,
a,O,,,,,,,
consummate,O,,,,,,,
Spanish,O,,,,,,,
painter,O,,,,,,,
.,O,,,,,,,
He,O,,,,,,,
worked,NONMOTION_EVENT,,,,,,,
in,SPATIAL_SIGNAL,,,,,,TOPOLOGICAL,
Toledo,PLACE,AREA,NAM,,,,,
",",O,,,,,,,
his,O,,,,,,,
adopted,O,,,,,,,
city,O,,,,,,,
",",O,,,,,,,
for,O,,,,,,,
37,O,,,,,,,
years,O,,,,,,,
",",O,,,,,,,
toiling,O,,,,,,,
away,O,,,,,,,
at,O,,,,,,,
the,O,,,,,,,
immense,O,,,,,,,
and,O,,,,,,,
intensely,O,,,,,,,
personal,O,,,,,,,
religious,O,,,,,,,
canvases,O,,,,,,,
that,O,,,,,,,
are,O,,,,,,,
his,O,,,,,,,
hallmark,O,,,,,,,
.,O,,,,,,,
Asymmetrical,O,,,,,,,
compositions,O,,,,,,,
and,O,,,,,,,
a,O,,,,,,,
mystical,O,,,,,,,
mood,O,,,,,,,
of,O,,,,,,,
ecstasy,O,,,,,,,
typify,O,,,,,,,
his,O,,,,,,,
work,O,,,,,,,
.,O,,,,,,,
Knight,O,,,,,,,
with,O,,,,,,,
his,O,,,,,,,
Hand,O,,,,,,,
on,O,,,,,,,
Chest,O,,,,,,,
",",O,,,,,,,
an,O,,,,,,,
early,O,,,,,,,
portrait,O,,,,,,,
",",O,,,,,,,
is,O,,,,,,,
realistic,O,,,,,,,
and,O,,,,,,,
alive,O,,,,,,,
",",O,,,,,,,
a,O,,,,,,,
study,O,,,,,,,
of,O,,,,,,,
a,O,,,,,,,
deep,O,,,,,,,
-,O,,,,,,,
eyed,O,,,,,,,
",",O,,,,,,,
bearded,O,,,,,,,
caballero,O,,,,,,,
(,O,,,,,,,
gentleman,O,,,,,,,
),O,,,,,,,
in,O,,,,,,,
black,O,,,,,,,
.,O,,,,,,,
It,O,,,,,,,
is,O,,,,,,,
signed,O,,,,,,,
",",O,,,,,,,
in,O,,,,,,,
Greek,O,,,,,,,
letters,O,,,,,,,
",",O,,,,,,,
“,O,,,,,,,
Domenikos,O,,,,,,,
Theotokopoulos,O,,,,,,,
",",O,,,,,,,
”,O,,,,,,,
the,O,,,,,,,
artist,O,,,,,,,
’s,O,,,,,,,
real,O,,,,,,,
name,O,,,,,,,
.,O,,,,,,,
The,O,,,,,,,
Prado,PLACE,AREA,NAM,,,,,
is,O,,,,,,,
also,O,,,,,,,
well,O,,,,,,,
supplied,O,,,,,,,
with,O,,,,,,,
El,O,,,,,,,
Greco,O,,,,,,,
’s,O,,,,,,,
passionately,O,,,,,,,
colored,O,,,,,,,
religious,O,,,,,,,
paintings,O,,,,,,,
",",O,,,,,,,
such,O,,,,,,,
as,O,,,,,,,
Adoration,O,,,,,,,
of,O,,,,,,,
the,O,,,,,,,
Shepherds,O,,,,,,,
.,O,,,,,,,
Felipe,O,,,,,,,
II,O,,,,,,,
did,O,,,,,,,
n’t,O,,,,,,,
care,O,,,,,,,
for,O,,,,,,,
El,O,,,,,,,
Greco,O,,,,,,,
’s,O,,,,,,,
revolutionary,O,,,,,,,
style,O,,,,,,,
",",O,,,,,,,
and,O,,,,,,,
later,O,,,,,,,
critics,O,,,,,,,
wondered,O,,,,,,,
whether,O,,,,,,,
his,O,,,,,,,
elongated,O,,,,,,,
figures,O,,,,,,,
were,O,,,,,,,
the,O,,,,,,,
result,O,,,,,,,
of,O,,,,,,,
myopia,O,,,,,,,
",",O,,,,,,,
but,O,,,,,,,
his,O,,,,,,,
mystical,O,,,,,,,
masterpieces,O,,,,,,,
live,O,,,,,,,
on,O,,,,,,,
.,O,,,,,,,
Francisco,O,,,,,,,
de,O,,,,,,,
Zurbarán,O,,,,,,,
(,O,,,,,,,
1598–1664,O,,,,,,,
),O,,,,,,,
",",O,,,,,,,
a,O,,,,,,,
member,O,,,,,,,
of,O,,,,,,,
the,O,,,,,,,
Seville,O,,,,,,,
school,O,,,,,,,
",",O,,,,,,,
combined,O,,,,,,,
mysticism,O,,,,,,,
and,O,,,,,,,
realism,O,,,,,,,
and,O,,,,,,,
was,O,,,,,,,
a,O,,,,,,,
master,O,,,,,,,
of,O,,,,,,,
light,O,,,,,,,
.,O,,,,,,,
His,O,,,,,,,
greatest,O,,,,,,,
works,O,,,,,,,
are,O,,,,,,,
of,O,,,,,,,
mythological,O,,,,,,,
",",O,,,,,,,
religious,O,,,,,,,
and,O,,,,,,,
historic,O,,,,,,,
themes,O,,,,,,,
.,O,,,,,,,
His,O,,,,,,,
deeply,O,,,,,,,
religious,O,,,,,,,
monks,O,,,,,,,
",",O,,,,,,,
priests,O,,,,,,,
",",O,,,,,,,
and,O,,,,,,,
saints,O,,,,,,,
are,O,,,,,,,
painted,O,,,,,,,
in,O,,,,,,,
flowing,O,,,,,,,
robes,O,,,,,,,
with,O,,,,,,,
almost,O,,,,,,,
tangible,O,,,,,,,
textures,O,,,,,,,
.,O,,,,,,,
The,O,,,,,,,
Prado,PLACE,AREA,NAM,,,,,
owns,O,,,,,,,
his,O,,,,,,,
strained,O,,,,,,,
but,O,,,,,,,
fascinating,O,,,,,,,
battle,O,,,,,,,
picture,O,,,,,,,
",",O,,,,,,,
The,O,,,,,,,
Defense,O,,,,,,,
of,O,,,,,,,
Cádiz,O,,,,,,,
against,O,,,,,,,
the,O,,,,,,,
English,O,,,,,,,
",",O,,,,,,,
and,O,,,,,,,
the,O,,,,,,,
rarer,O,,,,,,,
Still,O,,,,,,,
Life,O,,,,,,,
of,O,,,,,,,
a,O,,,,,,,
goblet,O,,,,,,,
",",O,,,,,,,
two,O,,,,,,,
vases,O,,,,,,,
",",O,,,,,,,
and,O,,,,,,,
a,O,,,,,,,
pot,O,,,,,,,
emerging,O,,,,,,,
from,O,,,,,,,
a,O,,,,,,,
black,O,,,,,,,
background,O,,,,,,,
.,O,,,,,,,
Bartolomé,O,,,,,,,
Murillo,O,,,,,,,
(,O,,,,,,,
1617–1682,O,,,,,,,
),O,,,,,,,
",",O,,,,,,,
Spain,O,,,,,,,
’s,O,,,,,,,
most,O,,,,,,,
popular,O,,,,,,,
religious,O,,,,,,,
artist,O,,,,,,,
of,O,,,,,,,
his,O,,,,,,,
time,O,,,,,,,
",",O,,,,,,,
depicted,O,,,,,,,
revered,O,,,,,,,
Biblical,O,,,,,,,
personalities,O,,,,,,,
at,O,,,,,,,
ease,O,,,,,,,
.,O,,,,,,,
His,O,,,,,,,
tender,O,,,,,,,
scenes,O,,,,,,,
",",O,,,,,,,
as,O,,,,,,,
well,O,,,,,,,
as,O,,,,,,,
classical,O,,,,,,,
religious,O,,,,,,,
works,O,,,,,,,
with,O,,,,,,,
soaring,O,,,,,,,
angels,O,,,,,,,
",",O,,,,,,,
brought,O,,,,,,,
Murillo,O,,,,,,,
international,O,,,,,,,
fame,O,,,,,,,
",",O,,,,,,,
although,O,,,,,,,
detractors,O,,,,,,,
label,O,,,,,,,
his,O,,,,,,,
later,O,,,,,,,
work,O,,,,,,,
mawkish,O,,,,,,,
and,O,,,,,,,
saccharine,O,,,,,,,
.,O,,,,,,,
José,O,,,,,,,
Ribera,O,,,,,,,
(,O,,,,,,,
c.,O,,,,,,,
1591–1652,O,,,,,,,
),O,,,,,,,
spent,NONMOTION_EVENT,,,,,,,
much,O,,,,,,,
of,O,,,,,,,
his,O,,,,,,,
life,O,,,,,,,
in,SPATIAL_SIGNAL,,,,,,TOPOLOGICAL,
Italy,PLACE,AREA,NAM,,,,,
",",O,,,,,,,
where,O,,,,,,,
the,O,,,,,,,
Valencia,O,,,,,,,
-,O,,,,,,,
born,O,,,,,,,
artist,O,,,,,,,
was,O,,,,,,,
known,O,,,,,,,
as,O,,,,,,,
lo,O,,,,,,,
Spagnoletto,O,,,,,,,
(,O,,,,,,,
the,O,,,,,,,
little,O,,,,,,,
Spaniard,O,,,,,,,
),O,,,,,,,
.,O,,,,,,,
His,O,,,,,,,
portraits,O,,,,,,,
of,O,,,,,,,
saints,O,,,,,,,
",",O,,,,,,,
hermits,O,,,,,,,
",",O,,,,,,,
and,O,,,,,,,
martyrs,O,,,,,,,
reveal,O,,,,,,,
impeccable,O,,,,,,,
drawing,O,,,,,,,
skills,O,,,,,,,
",",O,,,,,,,
composition,O,,,,,,,
",",O,,,,,,,
and,O,,,,,,,
keen,O,,,,,,,
exploitation,O,,,,,,,
of,O,,,,,,,
light,O,,,,,,,
and,O,,,,,,,
shadow,O,,,,,,,
.,O,,,,,,,
Dutch,O,,,,,,,
and,O,,,,,,,
Flemish,O,,,,,,,
:,O,,,,,,,
Hieronymus,O,,,,,,,
Bosch,O,,,,,,,
(,O,,,,,,,
c.,O,,,,,,,
1450–1516,O,,,,,,,
),O,,,,,,,
",",O,,,,,,,
whom,O,,,,,,,
the,O,,,,,,,
Spanish,O,,,,,,,
call,O,,,,,,,
El,O,,,,,,,
Bosco,O,,,,,,,
",",O,,,,,,,
has,O,,,,,,,
three,O,,,,,,,
masterpieces,SPATIAL_ENTITY,AREA,NOM,,,,,
in,SPATIAL_SIGNAL,,,,,,TOPOLOGICAL,
the,O,,,,,,,
Prado,PLACE,VOLUME,NAM,,,,,
",",O,,,,,,,
including,O,,,,,,,
a,O,,,,,,,
large,O,,,,,,,
triptych,SPATIAL_ENTITY,AREA,NOM,,,,,
called,O,,,,,,,
The,SPATIAL_ENTITY,AREA,NAM,,,,,
Garden,SPATIAL_ENTITY,AREA,NAM,,,,,
of,SPATIAL_ENTITY,AREA,NAM,,,,,
Earthly,SPATIAL_ENTITY,AREA,NAM,,,,,
Delights,SPATIAL_ENTITY,AREA,NAM,,,,,
Garden,O,,,,,,,
of,O,,,,,,,
Earthly,O,,,,,,,
Delights,O,,,,,,,
.,O,,,,,,,
Daringly,O,,,,,,,
mixing,O,,,,,,,
erotic,O,,,,,,,
fantasies,O,,,,,,,
and,O,,,,,,,
apocalyptic,O,,,,,,,
nightmares,O,,,,,,,
",",O,,,,,,,
it,SPATIAL_ENTITY,AREA,NOM,,,,,
portrays,O,,,,,,,
the,O,,,,,,,
terrors,O,,,,,,,
and,O,,,,,,,
superstitions,O,,,,,,,
of,O,,,,,,,
the,O,,,,,,,
medieval,O,,,,,,,
peasant,O,,,,,,,
mind,O,,,,,,,
.,O,,,,,,,
Bosch,O,,,,,,,
’s,O,,,,,,,
wild,O,,,,,,,
hallucinations,O,,,,,,,
presage,O,,,,,,,
similar,O,,,,,,,
psychological,O,,,,,,,
explorations,O,,,,,,,
400,O,,,,,,,
years,O,,,,,,,
later,O,,,,,,,
by,O,,,,,,,
Salvador,O,,,,,,,
Dalí,O,,,,,,,
.,O,,,,,,,
Peter,O,,,,,,,
Paul,O,,,,,,,
Rubens,O,,,,,,,
(,O,,,,,,,
1577–1640,O,,,,,,,
),O,,,,,,,
",",O,,,,,,,
of,O,,,,,,,
noble,O,,,,,,,
ancestry,O,,,,,,,
",",O,,,,,,,
pursued,O,,,,,,,
a,O,,,,,,,
career,O,,,,,,,
as,O,,,,,,,
a,O,,,,,,,
diplomat,O,,,,,,,
as,O,,,,,,,
well,O,,,,,,,
as,O,,,,,,,
an,O,,,,,,,
artist,O,,,,,,,
.,O,,,,,,,
The,O,,,,,,,
prolific,O,,,,,,,
Rubens,O,,,,,,,
is,O,,,,,,,
represented,O,,,,,,,
by,O,,,,,,,
dozens,O,,,,,,,
of,O,,,,,,,
paintings,SPATIAL_ENTITY,AREA,NOM,,,,,
in,SPATIAL_SIGNAL,,,,,,TOPOLOGICAL,
the,O,,,,,,,
Prado,PLACE,VOLUME,NAM,,,,,
.,O,,,,,,,
Of,O,,,,,,,
particular,O,,,,,,,
note,O,,,,,,,
is,O,,,,,,,
the,O,,,,,,,
huge,O,,,,,,,
Adoration,SPATIAL_ENTITY,AREA,NAM,,,,,
of,SPATIAL_ENTITY,AREA,NAM,,,,,
the,SPATIAL_ENTITY,AREA,NAM,,,,,
Magi,SPATIAL_ENTITY,AREA,NAM,,,,,
of,O,,,,,,,
the,O,,,,,,,
Magi,O,,,,,,,
",",O,,,,,,,
a,O,,,,,,,
brilliant,O,,,,,,,
religious,O,,,,,,,
extravaganza,O,,,,,,,
",",O,,,,,,,
and,O,,,,,,,
The,SPATIAL_ENTITY,AREA,NAM,,,,,
Three,SPATIAL_ENTITY,AREA,NAM,,,,,
Graces,SPATIAL_ENTITY,AREA,NAM,,,,,
Three,O,,,,,,,
Graces,O,,,,,,,
",",O,,,,,,,
a,O,,,,,,,
portrait,O,,,,,,,
of,O,,,,,,,
fleshy,O,,,,,,,
nudes,O,,,,,,,
with,O,,,,,,,
an,O,,,,,,,
equally,O,,,,,,,
lush,O,,,,,,,
landscape,O,,,,,,,
.,O,,,,,,,
The,O,,,,,,,
blonde,O,,,,,,,
on,O,,,,,,,
the,O,,,,,,,
left,O,,,,,,,
is,O,,,,,,,
said,O,,,,,,,
to,O,,,,,,,
be,O,,,,,,,
Rubens,O,,,,,,,
’s,O,,,,,,,
second,O,,,,,,,
wife,O,,,,,,,
",",O,,,,,,,
Helena,O,,,,,,,
.,O,,,,,,,
The,O,,,,,,,
greatest,O,,,,,,,
work,O,,,,,,,
of,O,,,,,,,
Rogier,O,,,,,,,
van,O,,,,,,,
der,O,,,,,,,
Weyden,O,,,,,,,
(,O,,,,,,,
c.,O,,,,,,,
1400,O,,,,,,,
–,O,,,,,,,
1464,O,,,,,,,
),O,,,,,,,
",",O,,,,,,,
Descent,O,,,,,,,
From,O,,,,,,,
the,O,,,,,,,
Cross,O,,,,,,,
",",O,,,,,,,
an,O,,,,,,,
altarpiece,O,,,,,,,
",",O,,,,,,,
should,O,,,,,,,
not,O,,,,,,,
be,O,,,,,,,
missed,O,,,,,,,
.,O,,,,,,,
Italian,O,,,,,,,
:,O,,,,,,,
Titian,O,,,,,,,
(,O,,,,,,,
c.,O,,,,,,,
1490–1576,O,,,,,,,
),O,,,,,,,
is,O,,,,,,,
represented,O,,,,,,,
by,O,,,,,,,
several,O,,,,,,,
paintings,O,,,,,,,
",",O,,,,,,,
one,O,,,,,,,
of,O,,,,,,,
the,O,,,,,,,
greatest,O,,,,,,,
of,O,,,,,,,
which,O,,,,,,,
is,O,,,,,,,
the,O,,,,,,,
Portrait,O,,,,,,,
of,O,,,,,,,
the,O,,,,,,,
Emperor,O,,,,,,,
Carlos,O,,,,,,,
V.,O,,,,,,,
Depicting,O,,,,,,,
Titian,O,,,,,,,
’s,O,,,,,,,
patron,O,,,,,,,
in,O,,,,,,,
armor,O,,,,,,,
",",O,,,,,,,
on,O,,,,,,,
horseback,O,,,,,,,
