,iso,dimensionality,form,motion_type,motion_class,motion_sense,semantic_type,motion_signal_type,text
66,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,work
67,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
68,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Las
69,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Meninas
70,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,(
71,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,the
72,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Maids
73,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,of
74,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Honor
75,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,)
76,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,.
77,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,The
78,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,artist
79,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,painted
80,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,himself
81,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,with
82,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,palette
83,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,in
84,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,hand
85,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,at
86,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,the
87,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,left
88,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,side
89,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,of
90,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,his
91,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,own
92,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,masterpiece
93,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
94,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,in
95,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,a
96,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,sense
97,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,part
98,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,of
99,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,the
100,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,family
101,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
102,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,as
103,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,he
104,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,became
105,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,in
106,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,real
107,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,life
108,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,.
109,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Another
110,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,vast
111,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
112,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,unforgettable
113,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Velázquez
114,__label__SPATIAL_ENTITY,__label__AREA,__label__NOM,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,canvas
115,__label__PLACE,__label__VOLUME,__label__NOM,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,here
116,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,is
117,__label__SPATIAL_ENTITY,__label__AREA,__label__NAM,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Surrender
118,__label__SPATIAL_ENTITY,__label__AREA,__label__NAM,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,of
119,__label__SPATIAL_ENTITY,__label__AREA,__label__NAM,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Breda
120,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
121,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,commemorating
122,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,a
123,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Spanish
124,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,victory
125,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,over
126,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Dutch
127,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,forces
128,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,in
129,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,1625
130,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,.
131,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,The
132,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,chivalry
133,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,of
134,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,the
135,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,winning
136,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,general
137,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
138,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,the
139,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,exhaustion
140,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,of
141,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,the
142,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,loser
143,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
144,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,the
145,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,less
146,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,disguised
147,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,emotions
148,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,of
149,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,their
150,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,retinues
151,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
152,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,the
153,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,array
154,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,of
155,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,upraised
156,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,lances
157,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
158,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,and
159,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,the
160,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,burning
161,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,landscape
162,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,communicated
163,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,a
164,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,profound
165,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,pathos
166,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,.
167,__label__PLACE,__label__VOLUME,__label__NOM,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Elsewhere
168,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,are
169,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Velázquez
170,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,’s
171,__label__SPATIAL_ENTITY,__label__AREA,__label__NOM,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,portraits
172,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,of
173,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,the
174,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,high
175,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,and
176,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,the
177,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,mighty
178,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
179,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,along
180,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,with
181,__label__SPATIAL_ENTITY,__label__POINT,__label__NOM,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,studies
182,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,of
183,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,fun
184,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,-
185,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,loving
186,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
187,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,ordinary
188,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,mortals
189,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,.
190,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Other
191,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,great
192,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,works
193,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,include
194,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Las
195,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Hilanderas
196,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,(
197,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,The
198,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Spinners
199,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,)
200,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,and
201,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Los
202,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Borrachos
203,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,(
204,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,The
205,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Drunkards
206,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,)
207,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,.
208,__label__SPATIAL_ENTITY,__label__POINT,__label__NAM,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Francisco
209,__label__SPATIAL_ENTITY,__label__POINT,__label__NAM,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,de
210,__label__SPATIAL_ENTITY,__label__POINT,__label__NAM,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Goya
211,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,(
212,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,1746–1828
213,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,)
214,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
215,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,another
216,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,court
217,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,painter
218,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
219,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,had
220,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,a
221,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,tumultuous
222,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
223,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,wildly
224,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,varied
225,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,career
226,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
227,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,and
228,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,excellent
229,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,selections
230,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,from
231,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,nearly
232,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,every
233,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,phase
234,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,of
235,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,it
236,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,are
237,__label__NONMOTION_EVENT,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,collected
238,__label__SPATIAL_SIGNAL,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__TOPOLOGICAL,__label__nan,in
239,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,the
240,__label__PLACE,__label__AREA,__label__NAM,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Prado
241,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
242,__label__PLACE,__label__AREA,__label__NOM,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,which
243,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,has
244,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,the
245,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,largest
246,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Goya
247,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,ensemble
248,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,in
249,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,the
250,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,world
251,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,.
252,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,A
253,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,philanderer
254,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,in
255,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,his
256,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,youth
257,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,","
258,__label__SPATIAL_ENTITY,__label__POINT,__label__NAM,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Goya
259,__label__MOTION,__label__nan,__label__nan,__label__PATH,__label__LEAVE,__label__LITERAL,__label__nan,__label__nan,fled
260,__label__PLACE,__label__AREA,__label__NAM,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,Zaragoza
261,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,in
262,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,1763
263,__label__O,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,__label__nan,for
